,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'art'}),frozenset({'furniture_decor'}),0.0020769926791149133,0.06630953360203998,5.141070987908201e-05,0.02475247524752475,0.3732868247283714,-8.631370596787937e-05,0.9573881939715123
1,frozenset({'audio'}),frozenset({'watches_gifts'}),0.0035987496915357406,0.05782676647199145,6.16928518548984e-05,0.01714285714285714,0.29645194066246694,-0.00014641120614869012,0.9586064876011714
2,frozenset({'furniture_decor'}),frozenset({'bed_bath_table'}),0.06630953360203998,0.09682693098626306,0.0007197499383071481,0.010854396030392309,0.11210100247762922,-0.0057007986955088675,0.9130840448455227
3,frozenset({'home_confort'}),frozenset({'bed_bath_table'}),0.004082010364399111,0.09682693098626306,0.0004421321049601053,0.10831234256926954,1.1186179450904616,4.688356912122205e-05,1.0128805321990215
4,frozenset({'books_imported'}),frozenset({'books'}),0.0005449535247182693,0.003218310438430534,0.0005449535247182693,1.0,310.7220447284345,0.000543199695101209,inf
5,frozenset({'books'}),frozenset({'books_imported'}),0.003218310438430534,0.0005449535247182693,0.0005449535247182693,0.16932907348242812,310.7220447284345,0.000543199695101209,1.2031901136413967
6,frozenset({'books'}),frozenset({'books_technical'}),0.003218310438430534,0.0026733569137122647,0.0026733569137122647,0.8306709265175719,310.72204472843447,0.002664753221251214,5.889872439358643
7,frozenset({'books_technical'}),frozenset({'books'}),0.0026733569137122647,0.003218310438430534,0.0026733569137122647,1.0,310.7220447284345,0.002664753221251214,inf
8,frozenset({'construction_tools_lights'}),frozenset({'furniture_decor'}),0.002508842642099202,0.06630953360203998,0.00011310356173398042,0.04508196721311475,0.6798715774970829,-5.3256623744527375e-05,0.9777702738244732
9,frozenset({'furniture_living_room'}),frozenset({'furniture_decor'}),0.004339063913794522,0.06630953360203998,7.197499383071481e-05,0.016587677725118485,0.2501552465241314,-0.0002157463105624421,0.9494394622167208
10,frozenset({'home_confort'}),frozenset({'furniture_decor'}),0.004082010364399111,0.06630953360203998,6.16928518548984e-05,0.015113350125944584,0.22792122497268824,-0.00020898335156709994,0.9480181973401283
11,frozenset({'home_construction'}),frozenset({'furniture_decor'}),0.005038249568150037,0.06630953360203998,0.00013366784568561322,0.026530612244897955,0.40010253132110335,-0.00020041613334909506,0.959136957096437
12,frozenset({'home_construction'}),frozenset({'garden_tools'}),0.005038249568150037,0.036172575470922105,7.197499383071481e-05,0.014285714285714285,0.39493218549500525,-0.00011027146891453313,0.97779593792805
13,frozenset({'sports_leisure_health_beauty'}),frozenset({'health_beauty'}),0.00014394998766142962,0.09085300649831372,0.00014394998766142962,1.0,11.00679040289724,0.00013087169849699358,inf
14,frozenset({'sports_leisure_health_beauty'}),frozenset({'sports_leisure'}),0.00014394998766142962,0.07937813605330263,0.00014394998766142962,1.0,12.597927461139896,0.00013252350595596943,inf
