,trigrams,frequency,english_translation
0,entrega super pida,27,Super delivery 
1,entrega antes prazo,15,Delivery before time 
2,custo benef cio,12,cost benefit 
3,chegou antes prazo,11,arrived before deadline 
4,nao recebi produto,11,I did not recieve the product 
5,produto boa qualidade,8,Product Good Quality 
6,produto entregue prazo,8,delivery product 
7,produto veio errado,7,Product came wrong 
8,produto veio defeito,7,product 
9,produto nao entregue,7,product not delivered 
10,ainda recebi produt,6,I still received Produt 
11,entrega super rapida,6,Super fast delivery 
12,ainda nao recebi,6,I still have not received 
13,produto diferente foto,5,different product photo 
14,rel gio casio,5,RELI CASIO REL 
15,produto ainda chegou,5,product has also arrived 
16,recebi produto errado,5,I received a wrong product 
17,entregue antes prazo,5,delivered before time 
18,entrega dentro prazo,5,delivery in term 
19,produto entregue errado,5,product delivered wrong 
20,loja confi vel,4,confident store 
21,timo custo benef,4,Timo Cost Benef 
22,bom neg cio,4,good deal 
23,recebi antes prazo,4,I received before Deadline 
24,produto veio diferente,4,Product came different 
25,bem antes prazo,4,well-term 
26,recomendo restri es,4,Recommend RestriS 
27,timo custo beneficio,4,Timo Cost Benefit 
28,bom custo benef,4,Good cost Benef 
29,recebi produto diferente,3,I received a different product 
30,produto veio quebrado,3,Product came broken 
31,nao recebi produt,3,I did not receive PRODUT 
32,produto baixa qualidad,3,Low quality product 
33,boa compra recomendo,3,good purchase recommend 
34,tudo conforme combinado,3,all as combined 
35,lindo rel gio,3,Lindo relj 
36,bom rel gio,3,good reli 
37,entrega faltando produto,3,missing delivery 
38,recebi todos produ,3,I received all produced 
39,rel gio bom,3,good gio 
40,produto nao chegou,3,product has not arrived 
41,produto ssima qualid,3,SSIMA Qualid Product 
42,chegou bem antes,3,arrived well before 
43,carteira couro marrom,3,brown leather wallet 
44,recebi produto cert,3,Received Cert Product 
45,rel gio falso,3,Fake relia rejo 
46,posso avaliar ainda,3,I can also evaluate 
47,poderia ser melhor,3,could be better 
48,produto mal embalado,3,ill-packaged product 
49,lugar pra comprar,2,place to buy 
